식품명,에너지(㎉),탄수화물(g),단백질(g),지방(g)
안동찜닭 (1500g당),1364,139,114,38
전어찜 (100g당),278,0,17,22
조기찜 (100g당),182,1,20,10
참꼬막 (80g당),90,4,12,2
한방오리백숙 (300g당),469,3,68,20
해물찜 (500g당),400,35,42,9
홍어찜 (250g당),202,1,47,1
갈낙탕 (400g당),261,0,35,12
곰탕 (300g당),183,18,19,3
광어매운탕 (600g당),419,9,58,16
낙지탕 (600g당),187,10,29,3
대구매운탕 (600g당),361,16,57,7
대구지리탕 (600g당),262,9,41,6
메기매운탕 (600g당),400,48,28,10
복지리탕 (600g당),232,10,41,2
소탕 (150g당),86,1,7,5
아구탕 (600g당),246,12,37,4
어탕 (150g당),85,1,12,3
연포탕 (1000g당),541,20,94,9
우럭매운탕 (600g당),406,11,52,17
육탕 (150g당),87,0,12,3
전복탕 (600g당),196,15,26,3
조기매운탕 (600g당),384,17,35,19
짱뚱어탕 (600g당),188,16,11,8
추어탕 (1000g당),316,26,22,13
해물탕 (600g당),267,16,39,4
고구마맛탕 (200g당),491,94,3,11
고구마튀김 (100g당),252,33,2,11
고추튀김 (100g당),202,14,7,12
닭튀김 (300g당),903,48,65,49
등심돈가스 (200g당),623,38,32,37
모래집튀김 (150g당),468,29,28,26
미꾸라지튀김 (100g당),387,28,10,25
생선까스 (200g당),653,46,24,41
안심돈가스 (200g당),651,34,33,42
양념치킨 (200g당),552,42,35,26
쥐포튀김 (100g당),356,42,9,16
치즈돈가스 (250g당),755,41,42,46
치킨까스 (200g당),592,44,27,33
대구포 (100g당),140,2,31,0
북어포 (20g당),66,0,15,0
매작과 (30g당),123,19,2,3
산자 (30g당),109,24,0,0
송화다식 (30g당),110,22,2,1
약과 (30g당),119,25,1,1
유과 (30g당),127,22,0,3
글램핑 바비큐(오리지널 L) (157g당),410,0,17,0
글램핑 바비큐(나폴리M) (127g당),328,0,15,0
글램핑 바비큐(나폴리L) (126g당),312,0,16,0
글램핑 바비큐(씬 M) (105g당),266,0,13,0
글램핑 바비큐(씬 L) (103g당),273,0,13,0
글램핑 바비큐(슈퍼시드 함유 도우M) (172g당),485,0,24,0
글램핑 바비큐(슈퍼시드 함유 도우L) (156g당),392,0,19,0
글램핑 바비큐 더블치즈엣지(오리지널 M) (129g당),330,0,16,0
글램핑 바비큐 더블치즈엣지(오리지널 L) (196g당),489,0,25,0
더블크러스트 이베리코(더블 크러스트 L) (152g당),387,0,19,0
더블크러스트 이베리코(더블 크러스트 M) (130g당),345,0,12,0
리얼불고기(오리지널 L) (164g당),420,0,14,0
리얼불고기(오리지널 M) (115g당),280,0,13,0
리얼불고기(나폴리L) (130g당),334,0,16,0
리얼불고기(나폴리M) (181g당),430,0,23,0
리얼불고기(씬 L) (149g당),365,0,20,0
리얼불고기(씬 M) (139g당),396,0,22,0
리얼불고기(슈퍼시드 함유 도우L) (111g당),313,0,15,0
리얼불고기(슈퍼시드 함유 도우M) (116g당),292,0,14,0
리얼불고기 더블치즈엣지(오리지널 L) (133g당),344,0,17,0
리얼불고기 더블치즈엣지(오리지널 M) (144g당),350,0,18,0
문어밤 슈림프(오리지널 L) (170g당),428,0,21,0
문어밤 슈림프(오리지널 M) (117g당),280,0,15,0
문어밤 슈림프(나폴리L) (143g당),323,0,18,0
문어밤 슈림프(나폴리M) (186g당),430,0,22,0
문어밤 슈림프(씬 L) (111g당),254,0,15,0
문어밤 슈림프(씬 M) (153g당),389,0,20,0
문어밤 슈림프(슈퍼시드 함유 도우L) (130g당),333,0,19,0
문어밤 슈림프(슈퍼시드 함유 도우M) (118g당),280,0,16,0
문어밤 슈림프 더블치즈엣지(오리지널 L) (143g당),322,0,17,0
문어밤 슈림프 더블치즈엣지(오리지널 M) (144g당),347,0,18,0
베스트 콰트로(오리지널 L) (186g당),460,0,25,0
베스트 콰트로(오리지널 M) (134g당),312,0,13,0
베스트 콰트로(나폴리L) (157g당),387,0,18,0
베스트 콰트로(나폴리M) (107g당),259,0,12,0
베스트 콰트로(씬 L) (129g당),306,0,15,0
베스트 콰트로(씬 M) (181g당),457,0,19,0
베스트 콰트로(슈퍼시드 함유 도우L) (112g당),274,0,12,0
베스트 콰트로(슈퍼시드 함유 도우M) (132g당),322,0,13,0
베스트 콰트로 더블치즈엣지(오리지널 L) (159g당),393,0,17,0
베스트 콰트로 더블치즈엣지(오리지널 M) (160g당),384,0,19,0
베이컨체더치즈(오리지널 L) (194g당),455,0,23,0
베이컨체더치즈(오리지널 M) (114g당),311,0,14,0
베이컨체더치즈(나폴리L) (129g당),356,0,18,0
베이컨체더치즈(나폴리M) (176g당),465,0,24,0
베이컨체더치즈(씬 L) (143g당),382,0,21,0
베이컨체더치즈(씬 M) (147g당),437,0,22,0
베이컨체더치즈(슈퍼시드 함유 도우L) (125g당),377,0,19,0
베이컨체더치즈(슈퍼시드 함유 도우M) (113g당),307,0,14,0
베이컨체더치즈 더블치즈엣지(오리지널 L) (129g당),355,0,17,0
베이컨체더치즈 더블치즈엣지(오리지널 M) (135g당),364,0,18,0
불고기(오리지널 L) (158g당),436,0,21,0
불고기(오리지널 M) (121g당),291,0,15,0
불고기(나폴리L) (129g당),319,0,16,0
불고기(나폴리M) (177g당),421,0,2,0
불고기(씬 L) (102g당),250,0,14,0
불고기(씬 M) (162g당),394,0,22,0
불고기(슈퍼시드 함유 도우L) (125g당),312,0,18,0
불고기(슈퍼시드 함유 도우M) (121g당),301,0,15,0
불고기 더블치즈엣지(오리지널 L) (134g당),342,0,16,0
불고기 더블치즈엣지(오리지널 M) (139g당),350,0,18,0
블랙앵거스 스테이크(오리지널 L) (158g당),405,0,21,0
블랙앵거스 스테이크(오리지널 M) (126g당),307,0,14,0
블랙앵거스 스테이크(나폴리L) (160g당),383,0,17,0
블랙앵거스 스테이크(나폴리M) (103g당),248,0,12,0
블랙앵거스 스테이크(씬 L) (121g당),296,0,14,0
블랙앵거스 스테이크(씬 M) (169g당),459,0,20,0
블랙앵거스 스테이크(슈퍼시드 함유 도우L) (103g당),266,0,12,0
블랙앵거스 스테이크(슈퍼시드 함유 도우M) (126g당),301,0,14,0
블랙앵거스 스테이크 더블치즈엣지(오리지널 L) (158g당),369,0,17,0
블랙앵거스 스테이크 더블치즈엣지(오리지널 M) (156g당),388,0,19,0
블랙타이거 슈림프(오리지널 L) (198g당),488,0,23,0
블랙타이거 슈림프(오리지널 M) (123g당),288,0,13,0
블랙타이거 슈림프(나폴리M) (191g당),453,0,20,0
블랙타이거 슈림프(나폴리L) (159g당),358,0,18,0
블랙타이거 슈림프(씬 M) (188g당),431,0,20,0
블랙타이거 슈림프(씬 L) (125g당),308,0,14,0
블랙타이거 슈림프(슈퍼시드 함유 도우L) (157g당),403,0,18,0
블랙타이거 슈림프 더블치즈엣지(오리지널 L) (118g당),290,0,13,0
블랙타이거슈림프(슈퍼시드 함유 도우M) (144g당),363,0,18,0
블랙타이거슈림프 더블치즈엣지(오리지널 M) (193g당),468,0,21,0
